"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0007018C",1,1,0,49,35,58,47,97,72,128,118,165,140,194,168,1,85000,2,0,0
"0007019C",1,1,0,31,29,41,36,NA,NA,NA,NA,NA,NA,NA,NA,1,55000,1,0,0
"0007020C",1,1,1,60,47,76,74,NA,NA,156,133,NA,NA,NA,NA,3,27000,1,0,0
"0007021C",1,1,1,39,22,49,34,101,50,NA,NA,NA,NA,NA,NA,1,60000,1,0,0
"0007022C",1,1,1,41,31,52,47,91,67,149,123,154,144,194,161,1,56000,1,0,0
"0007023C",1,1,0,34,29,47,38,106,70,149,122,181,141,183,157,1,120000,1,0,0
"0007024C",1,1,1,43,29,42,46,NA,NA,NA,NA,NA,NA,NA,NA,1,30000,1,0,0
"0009001C",1,3,1,27,16,35,20,62,54,88,74,114,87,132,106,3,3000,0,0,0
"0009002C",1,3,0,26,14,28,21,67,42,106,77,NA,NA,118,109,1,31000,0,0,0
"0009003C",1,3,1,39,21,39,29,61,51,120,81,148,119,183,133,1,33000,2,0,0
"0009004C",1,3,0,31,25,43,37,68,55,NA,NA,NA,NA,NA,NA,1,25000,0,0,0
"0009005C",1,3,1,30,29,43,47,54,81,109,95,154,121,165,134,1,16000,1,0,0
"0009007C",1,3,1,29,24,37,20,52,39,92,59,129,90,144,101,2,23000,0,0,0
"0009008C",1,3,1,28,22,32,38,65,50,127,76,167,120,194,129,1,68000,0,0,0
"0009009C",1,3,1,38,26,42,28,73,55,144,104,NA,NA,NA,NA,3,17000,0,0,0
"0009010C",1,3,0,33,26,48,39,78,64,110,110,140,129,175,144,1,65000,0,0,0
"0009011C",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,83,1,88000,1,NA,0
